time(s),area,x,y,v_x,v_y,theta,area,x,y,v_x,v_y,theta
 15.318, 450.5, 262.4, 559.1,  44.3, -11.7,0, 505.5, 616.2, 537.6,   8.7,   2.5,0,
 15.385, 453.0, 267.4, 559.4,  75.3,   4.6,0, 509.5, 615.9, 537.5,  -4.3,  -1.4,0,
 15.455, 417.5, 272.4, 560.0,  70.4,   9.2,0, 511.0, 615.9, 537.5,  -0.0,  -0.9,0,
 15.519, 398.0, 277.2, 560.8,  75.0,  12.7,0, 505.5, 615.9, 537.6,  -0.7,   2.0,0,
 15.585, 410.5, 284.7, 562.5, 114.3,  25.1,0, 501.0, 616.2, 537.6,   4.8,   0.4,0,
 15.652, 446.0, 293.2, 565.0, 126.9,  37.7,0, 506.0, 615.8, 537.5,  -6.8,  -1.2,0,
 15.718, 417.5, 301.3, 568.9, 121.6,  58.1,0, 508.0, 615.9, 537.5,   1.6,  -0.1,0,
 15.789, 437.5, 310.7, 571.8, 135.0,  41.5,0, 509.0, 615.7, 537.5,  -2.5,   0.2,0,
 15.852, 433.0, 323.7, 578.1, 205.8, 100.0,0, 512.5, 616.1, 537.5,   7.1,  -0.8,0,
 15.918, 423.0, 335.2, 586.4, 172.0, 125.0,0, 497.0, 616.1, 537.7,  -1.1,   3.1,0,
 15.985, 413.0, 348.6, 596.9, 201.1, 156.7,0, 510.5, 615.8, 537.5,  -4.4,  -2.7,0,
 16.052, 409.0, 360.0, 612.3, 170.9, 231.1,0, 503.5, 616.0, 537.5,   2.9,  -0.8,0,
 16.122, 415.5, 369.6, 627.2, 137.8, 213.3,0, 510.0, 615.9, 537.4,  -0.7,  -0.2,0,
 16.185, 443.5, 377.7, 642.9, 127.1, 247.9,0, 495.5, 616.3, 537.6,   6.3,   1.7,0,
 16.252, 465.0, 384.3, 659.0,  99.0, 240.8,0, 504.0, 615.5, 537.7, -11.6,   2.0,0,
 16.318, 439.5, 393.0, 679.6, 130.6, 310.6,0, 511.5, 615.8, 537.6,   3.3,  -1.2,0,
 16.385, 415.0, 401.6, 700.7, 129.0, 315.4,0, 507.0, 615.8, 537.6,   0.5,  -0.3,0,
 16.455, 465.0, 414.4, 722.3, 182.2, 309.1,0, 503.0, 616.0, 537.7,   2.9,   1.6,0,
 16.518, 455.0, 426.0, 742.7, 184.4, 321.9,0, 496.0, 616.3, 537.3,   5.2,  -5.9,0,
 16.585, 449.5, 441.0, 762.9, 223.9, 303.7,0, 503.0, 616.2, 537.7,  -1.1,   5.5,0,
 16.652, 476.0, 457.9, 780.0, 255.0, 256.2,0, 512.0, 615.8, 537.6,  -6.0,  -1.9,0,
 16.718, 454.5, 477.5, 797.1, 293.5, 256.5,0, 502.0, 616.1, 537.4,   4.3,  -1.8,0,
 16.788, 471.0, 502.0, 811.1, 349.2, 200.2,0, 508.0, 616.0, 537.4,  -2.1,  -0.0,0,
 16.852, 430.5, 527.0, 822.5, 395.2, 180.0,0, 513.0, 616.0, 537.5,   0.1,   1.5,0,
 16.918, 445.0, 555.5, 828.4, 428.2,  88.3,0, 503.5, 616.0, 537.5,  -0.3,  -0.7,0,
 16.985, 449.5, 586.3, 829.5, 461.7,  16.6,0, 509.5, 616.0, 537.5,   0.9,   0.5,0,
 17.052, 486.0, 615.4, 822.5, 437.6,-105.0,0, 502.5, 615.9, 537.6,  -2.3,   1.7,0,
 17.122, 456.5, 643.0, 809.3, 393.2,-188.8,0, 511.0, 616.1, 537.5,   2.9,  -1.5,0,
 17.185, 445.0, 668.8, 789.7, 407.1,-308.9,0, 513.5, 615.8, 537.6,  -4.7,   0.9,0,
 17.251, 450.0, 688.8, 764.2, 300.7,-383.6,0, 506.0, 615.8, 537.5,  -0.6,  -0.8,0,
 17.318, 438.0, 702.4, 735.4, 204.0,-432.0,0, 504.0, 615.6, 537.6,  -1.7,   0.4,0,
 17.385, 416.5, 710.4, 704.3, 119.4,-466.4,0, 509.5, 615.9, 537.5,   4.2,  -1.3,0,
 17.455, 401.5, 713.6, 675.5,  47.0,-411.4,0, 506.0, 615.7, 537.4,  -3.6,  -1.1,0,
 17.551, 386.0, 720.0, 630.9,  65.4,-462.7,0, 502.5, 616.1, 537.4,   4.9,  -0.4,0,
 17.622, 380.5, 727.8, 607.8, 111.2,-328.4,0, 503.0, 616.2, 537.4,   1.2,   0.7,0,
 17.718, 414.0, 739.1, 568.4, 117.9,-409.0,0, 503.0, 616.0, 537.5,  -2.7,   1.2,0,
 17.818, 427.5, 758.1, 533.8, 189.4,-345.9,0, 507.0, 615.7, 537.6,  -2.4,   0.5,0,
 17.886, 448.5, 772.0, 512.0, 205.8,-321.8,0, 507.5, 615.5, 537.6,  -3.3,   1.1,0,
 17.985, 467.5, 796.4, 482.7, 245.9,-296.3,0, 507.0, 615.7, 537.5,   1.9,  -1.8,0,
 18.086, 451.0, 825.5, 454.8, 286.7,-273.7,0, 505.5, 615.9, 537.5,   1.8,   0.0,0,
 18.185, 444.0, 850.0, 424.1, 248.7,-312.1,0, 501.5, 616.3, 537.6,   4.1,   1.4,0,
 18.251, 449.0, 860.7, 404.2, 160.5,-299.2,0, 514.0, 615.9, 537.4,  -5.6,  -2.5,0,
 18.318, 428.0, 863.9, 393.7,  48.6,-158.3,0, 509.5, 615.9, 537.5,  -0.1,   0.8,0,
 18.385, 441.5, 864.2, 392.7,   4.7, -15.1,0, 516.5, 615.8, 537.5,  -0.8,   0.1,0,
 18.456, 418.5, 863.7, 393.4,  -6.8,  10.5,0, 504.0, 616.1, 537.6,   3.4,   1.9,0,
 18.518, 436.0, 863.5, 393.5,  -3.1,   0.9,0, 505.5, 616.0, 537.5,  -0.8,  -2.2,0,
 18.585, 424.5, 863.9, 393.8,   4.8,   5.6,0, 504.5, 616.1, 537.7,   1.0,   2.5,0,
 18.651, 433.0, 863.9, 392.6,   0.8, -18.1,0, 503.5, 615.9, 537.6,  -2.6,  -1.6,0,
 18.718, 427.0, 863.5, 392.6,  -6.0,  -0.1,0, 513.5, 615.8, 537.6,  -1.6,   0.5,0,
 18.788, 423.5, 863.9, 393.2,   6.1,   8.9,0, 507.0, 616.0, 537.5,   3.0,  -1.4,0,
 18.851, 440.0, 864.0, 393.0,   1.4,  -4.3,0, 507.0, 615.6, 537.6,  -5.9,   2.3,0,
 18.918, 415.5, 863.5, 391.7,  -7.1, -18.3,0, 507.0, 616.1, 537.5,   6.8,  -1.4,0,
 18.985, 426.5, 863.9, 393.7,   4.8,  28.9,0, 503.0, 616.3, 537.6,   3.4,   0.5,0,
 19.051, 429.5, 864.1, 393.0,   3.3,  -9.9,0, 506.5, 616.3, 537.6,  -0.0,   0.6,0,
 19.121, 433.0, 864.2, 392.6,   0.9,  -6.5,0, 509.5, 615.9, 537.5,  -5.4,  -1.3,0,
 19.185, 441.0, 863.4, 393.3, -11.1,  11.7,0, 507.0, 615.8, 537.6,  -1.4,   1.6,0,
 19.251, 431.5, 864.0, 393.2,   8.9,  -1.1,0, 514.0, 616.1, 537.5,   3.9,  -2.0,0,
 19.318, 431.0, 864.0, 393.8,  -0.4,   8.7,0, 513.5, 615.9, 537.6,  -3.0,   1.4,0,
 19.385, 416.5, 864.0, 393.8,  -0.3,   0.3,0, 506.0, 615.9, 537.5,  -0.4,  -0.8,0,
 19.455, 430.0, 863.4, 396.1,  -7.9,  31.8,0, 508.5, 615.7, 537.6,  -3.0,   0.6,0,
 19.518, 427.0, 862.8, 397.9, -10.0,  28.7,0, 506.0, 615.8, 537.6,   2.4,   0.3,0,
 19.584, 436.5, 861.2, 399.5, -24.0,  24.7,0, 504.0, 615.7, 537.6,  -1.5,  -0.3,0,
 19.651, 421.0, 861.3, 402.3,   2.0,  41.6,0, 503.0, 615.6, 537.6,  -1.8,   0.4,0,
 19.718, 448.5, 860.2, 405.9, -16.7,  54.0,0, 503.5, 615.5, 537.8,  -1.3,   3.5,0,
 19.788, 442.0, 859.4, 407.4, -12.4,  21.8,0, 508.5, 615.7, 537.7,   2.7,  -1.9,0,
 19.851, 434.5, 858.0, 411.1, -22.1,  58.1,0, 514.0, 616.0, 537.5,   5.5,  -2.6,0,
 19.918, 458.5, 857.2, 414.5, -12.2,  50.5,0, 510.5, 615.8, 537.6,  -4.0,   0.6,0,
 19.984, 452.0, 854.7, 418.8, -37.0,  64.7,0, 513.5, 615.8, 537.6,   0.4,   0.3,0,
 20.051, 442.0, 853.3, 421.3, -21.0,  38.5,0, 509.5, 615.9, 537.5,   2.1,  -1.0,0,
 20.121, 423.0, 853.3, 423.4,   0.5,  29.2,0, 509.5, 615.7, 537.6,  -3.7,   1.7,0,
 20.185, 468.0, 850.7, 428.4, -41.9,  78.6,0, 508.5, 615.7, 537.7,   1.0,   1.0,0,
 20.251, 468.5, 848.9, 430.8, -26.6,  36.8,0, 508.5, 615.7, 537.6,  -0.4,  -1.3,0,
 20.318, 456.5, 847.3, 433.7, -23.6,  43.9,0, 507.5, 615.5, 537.6,  -3.5,  -0.8,0,
 20.384, 470.5, 845.6, 436.2, -26.2,  37.1,0, 505.5, 616.4, 537.5,  13.1,  -0.8,0,
 20.454, 467.0, 843.4, 440.0, -31.5,  54.1,0, 504.5, 616.2, 537.6,  -2.5,   1.6,0,
 20.518, 461.0, 841.6, 442.7, -28.8,  43.2,0, 504.5, 616.3, 537.6,   1.8,  -0.6,0,
 20.584, 483.0, 839.4, 445.5, -31.7,  40.8,0, 509.5, 616.0, 537.6,  -4.4,  -0.1,0,
 20.651, 467.0, 836.5, 448.6, -44.1,  47.3,0, 499.5, 616.2, 537.6,   2.5,   0.8,0,
 20.717, 456.5, 832.9, 452.8, -53.9,  63.3,0, 498.0, 616.1, 537.6,  -0.9,   0.3,0,
 20.788, 459.5, 828.6, 457.0, -61.9,  59.8,0, 504.0, 616.0, 537.6,  -1.8,  -0.7,0,
 20.851, 474.5, 824.4, 462.5, -66.2,  87.2,0, 501.5, 615.7, 537.6,  -4.3,  -0.1,0,
 20.917, 458.0, 821.5, 465.5, -43.8,  44.0,0, 504.5, 615.6, 537.7,  -1.8,   1.5,0,
 20.984, 481.5, 815.3, 471.4, -92.5,  89.6,0, 506.0, 615.8, 537.6,   3.3,  -1.6,0,
 21.051, 456.0, 810.0, 475.0, -80.2,  54.1,0, 512.5, 615.9, 537.5,   1.3,  -1.3,0,
 21.121, 475.5, 804.8, 478.0, -74.1,  41.5,0, 504.0, 615.7, 537.5,  -3.4,  -0.5,0,
 21.184, 466.0, 800.0, 481.5, -75.7,  56.7,0, 503.5, 616.0, 537.8,   5.6,   4.7,0,
 21.251, 453.0, 794.8, 483.9, -78.1,  34.9,0, 505.0, 615.7, 537.6,  -4.5,  -2.6,0,
 21.317, 478.0, 789.3, 486.4, -82.6,  38.5,0, 498.5, 615.6, 537.4,  -1.3,  -2.3,0,
 21.384, 457.0, 784.9, 490.0, -65.3,  54.0,0, 508.5, 615.7, 537.6,   0.5,   2.0,0,
 21.454, 439.5, 778.8, 492.9, -87.6,  40.9,0, 505.5, 616.4, 537.6,  10.4,   0.7,0,
 21.517, 447.0, 771.5, 494.5,-115.6,  26.1,0, 500.5, 616.1, 537.6,  -3.9,  -0.6,0,
 21.585, 465.5, 765.5, 496.5, -88.5,  29.4,0, 506.0, 615.9, 537.5,  -3.0,  -1.4,0,
 21.651, 447.5, 761.6, 497.7, -59.0,  18.7,0, 506.0, 616.3, 537.6,   5.9,   1.4,0,
 21.717, 415.0, 755.3, 499.9, -94.5,  33.0,0, 506.5, 616.0, 537.6,  -5.3,   0.5,0,
 21.789, 440.0, 750.9, 500.0, -62.0,   0.8,0, 513.5, 615.9, 537.6,  -1.1,   0.2,0,
 21.851, 419.5, 743.8, 501.7,-113.6,  28.1,0, 512.0, 615.7, 537.6,  -2.9,  -0.6,0,
 21.917, 442.0, 737.3, 503.0, -98.5,  18.5,0, 504.5, 615.6, 537.8,  -2.2,   2.4,0,
 21.984, 419.0, 731.0, 504.7, -93.6,  26.1,0, 504.5, 615.6, 537.6,  -0.1,  -1.7,0,
 22.051, 436.5, 722.3, 504.1,-130.8,  -9.5,0, 509.5, 615.6, 537.7,   1.1,   0.2,0,
 22.121, 420.0, 716.7, 503.6, -80.5,  -6.5,0, 505.5, 615.9, 537.6,   3.6,  -0.2,0,
 22.184, 435.0, 707.5, 501.6,-145.1, -32.8,0, 509.0, 615.8, 537.6,  -2.1,  -1.3,0,
 22.250, 450.5, 700.5, 499.0,-105.9, -38.8,0, 507.0, 615.8, 537.5,   0.6,  -0.7,0,
 22.317, 462.0, 694.8, 495.0, -85.4, -60.2,0, 510.5, 616.0, 537.6,   3.7,   1.6,0,
 22.384, 443.0, 689.5, 491.0, -79.3, -59.8,0, 502.0, 615.5, 537.5,  -8.2,  -1.8,0,
 22.454, 430.5, 684.5, 486.8, -70.5, -60.1,0, 505.5, 616.2, 537.6,  10.3,   1.7,0,
 22.517, 421.0, 679.0, 481.7, -86.7, -80.5,0, 499.0, 616.1, 537.5,  -1.6,  -2.1,0,
 22.584, 389.0, 676.6, 474.8, -35.9,-103.5,0, 504.5, 616.3, 537.6,   2.5,   1.6,0,
 22.650, 405.5, 672.9, 466.7, -55.6,-121.4,0, 506.0, 615.8, 537.6,  -7.2,   0.0,0,
 22.717, 391.0, 672.6, 461.7,  -4.9, -74.4,0, 513.5, 615.9, 537.5,   0.9,  -1.0,0,
 22.787, 400.0, 672.4, 457.2,  -2.4, -64.2,0, 512.0, 616.1, 537.7,   3.2,   2.4,0,
 22.850, 398.5, 672.0, 450.8,  -7.4,-101.3,0, 507.5, 615.5, 537.6,  -9.5,  -1.6,0,
 22.917, 419.5, 671.9, 443.7,  -0.8,-107.2,0, 508.0, 615.8, 537.6,   4.6,  -0.5,0,
 22.984, 434.0, 672.8, 437.1,  13.2, -98.9,0, 504.0, 616.3, 537.6,   7.6,   0.3,0,
 23.050, 436.5, 676.2, 431.3,  50.9, -87.6,0, 507.0, 615.6, 537.5, -10.8,  -0.8,0,
 23.120, 412.5, 678.9, 427.2,  38.7, -57.7,0, 504.0, 616.0, 537.7,   6.5,   2.1,0,
 23.217, 443.0, 684.4, 419.6,  57.2, -79.0,0, 512.5, 616.1, 537.5,   0.4,  -2.2,0,
 23.288, 448.5, 687.7, 415.5,  45.3, -57.2,0, 508.5, 615.7, 537.6,  -5.1,   2.2,0,
 23.351, 441.0, 691.1, 410.0,  54.8, -87.8,0, 504.5, 616.1, 537.6,   6.0,  -0.6,0,
 23.417, 438.0, 694.4, 405.5,  50.3, -68.9,0, 506.5, 615.5, 537.6,  -8.4,  -0.2,0,
 23.485, 427.0, 697.5, 400.3,  45.7, -75.9,0, 505.0, 616.1, 537.6,   9.2,   0.9,0,
 23.550, 440.0, 700.6, 395.2,  46.5, -78.8,0, 504.0, 615.4, 537.6, -11.1,  -0.4,0,
 23.620, 413.5, 703.8, 392.1,  46.7, -43.2,0, 510.5, 615.7, 537.6,   4.4,  -0.6,0,
 23.685, 432.0, 706.2, 387.6,  37.0, -70.4,0, 511.0, 615.7, 537.6,  -0.1,   1.2,0,
 23.750, 437.5, 710.5, 381.8,  65.9, -88.8,0, 509.0, 615.8, 537.7,   1.2,   1.3,0,
 23.817, 436.0, 713.1, 376.5,  39.0, -79.5,0, 504.5, 615.7, 537.6,  -1.6,  -2.5,0,
 23.885, 408.0, 716.7, 371.5,  52.8, -73.9,0, 506.5, 615.6, 537.5,  -0.7,  -0.3,0,
 23.954, 440.0, 718.8, 367.3,  30.5, -60.4,0, 513.0, 615.8, 537.6,   1.9,   1.4,0,
 24.018, 447.0, 721.3, 361.1,  39.6, -97.3,0, 514.0, 615.9, 537.6,   1.4,  -0.5,0,
 24.085, 444.0, 723.7, 357.0,  35.3, -60.6,0, 501.0, 616.1, 537.5,   4.3,  -0.9,0,
 24.150, 414.0, 726.7, 351.7,  46.5, -81.8,0, 508.0, 616.2, 537.7,   1.4,   1.9,0,
 24.217, 438.0, 728.9, 345.5,  32.4, -92.9,0, 513.0, 615.8, 537.6,  -7.1,  -0.7,0,
 24.288, 440.5, 732.1, 340.2,  44.9, -73.7,0, 513.0, 615.8, 537.5,   0.5,  -2.4,0,
 24.350, 410.5, 735.2, 332.8,  50.0,-119.4,0, 505.5, 616.0, 537.5,   3.2,   0.7,0,
 24.417, 447.0, 737.1, 326.7,  28.6, -91.5,0, 501.5, 616.0, 537.7,   0.2,   2.6,0,
 24.484, 424.5, 739.8, 321.2,  39.5, -81.9,0, 513.5, 615.8, 537.6,  -3.3,  -1.2,0,
 24.550, 419.5, 740.8, 315.1,  15.2, -92.8,0, 509.0, 615.7, 537.4,  -1.2,  -2.2,0,
 24.621, 427.0, 743.3, 308.5,  34.9, -93.4,0, 513.5, 615.9, 537.8,   2.0,   5.4,0,
 24.686, 404.0, 745.6, 302.4,  35.5, -92.9,0, 505.5, 616.2, 537.6,   5.7,  -3.3,0,
 24.750, 432.0, 746.9, 295.7,  20.2,-104.2,0, 512.0, 615.9, 537.6,  -4.8,  -0.7,0,
 24.817, 429.0, 748.4, 289.2,  22.9, -98.0,0, 510.0, 616.1, 537.6,   2.6,   1.0,0,
 24.884, 416.0, 749.2, 282.4,  11.8,-100.6,0, 503.5, 616.0, 537.6,  -0.8,  -1.1,0,
 24.953, 403.0, 750.0, 276.0,  12.3, -93.0,0, 508.5, 615.7, 537.6,  -4.6,   0.9,0,
 25.017, 397.0, 750.5, 269.2,   7.7,-107.6,0, 515.5, 615.8, 537.7,   1.9,   1.6,0,
 25.084, 402.0, 751.9, 261.1,  20.3,-119.9,0, 507.0, 615.6, 537.7,  -3.4,  -0.4,0,
 25.150, 431.5, 752.6, 255.7,  10.2, -82.4,0, 510.5, 615.7, 537.5,   0.8,  -3.4,0,
 25.217, 447.0, 752.4, 253.3,  -1.6, -35.9,0, 506.0, 615.8, 537.6,   2.9,   2.5,0,
 25.288, 436.0, 752.8, 252.6,   4.7,  -9.6,0, 512.5, 615.7, 537.6,  -2.7,  -0.9,0,
 25.350, 440.5, 753.2, 252.9,   6.9,   4.4,0, 501.5, 616.0, 537.7,   5.6,   2.4,0,
 25.417, 445.0, 753.2, 252.9,   0.2,   0.3,0, 510.0, 616.0, 537.6,  -0.1,  -1.5,0,
 25.484, 439.0, 752.4, 255.2, -12.9,  35.1,0, 505.5, 615.7, 537.6,  -4.3,  -0.5,0,
 25.550, 428.5, 752.1, 258.9,  -3.6,  55.2,0, 508.0, 615.8, 537.6,   1.2,   0.3,0,
 25.620, 403.5, 751.7, 265.5,  -6.0,  94.9,0, 504.5, 615.7, 537.7,  -1.9,   1.2,0,
 25.684, 417.0, 750.1, 272.4, -24.7, 106.8,0, 508.0, 615.7, 537.5,   1.3,  -3.0,0,
 25.750, 412.0, 750.6, 281.0,   8.0, 131.7,0, 504.0, 615.7, 537.7,  -1.0,   2.5,0,
 25.817, 431.0, 751.6, 291.6,  14.0, 158.6,0, 503.5, 615.8, 537.5,   1.4,  -3.1,0,
 25.884, 433.5, 752.9, 301.3,  20.1, 144.0,0, 512.0, 615.9, 537.7,   1.6,   3.8,0,
 25.953, 387.5, 755.6, 308.8,  38.7, 108.5,0, 512.0, 615.7, 537.6,  -2.8,  -2.3,0,
 26.016, 410.5, 756.5, 317.8,  14.3, 141.5,0, 507.0, 615.9, 537.6,   3.1,  -0.1,0,
 26.084, 428.0, 759.4, 327.5,  42.7, 143.9,0, 517.5, 615.9, 537.6,   0.9,   0.2,0,
 26.150, 439.5, 763.2, 336.8,  57.5, 141.2,0, 507.0, 615.8, 537.5,  -1.6,  -0.4,0,
 26.216, 454.5, 766.7, 345.3,  52.9, 127.2,0, 503.5, 616.1, 537.6,   3.7,   0.9,0,
 26.288, 440.5, 771.7, 352.6,  70.4, 103.1,0, 508.0, 615.9, 537.5,  -2.0,  -1.5,0,
 26.350, 439.0, 776.4, 361.6,  75.1, 144.5,0, 507.5, 615.9, 537.7,  -0.2,   3.8,0,
 26.416, 439.0, 783.6, 370.2, 109.1, 129.7,0, 514.5, 615.9, 537.7,  -0.1,  -0.0,0,
 26.484, 455.5, 791.5, 378.8, 116.8, 127.1,0, 510.5, 615.6, 537.5,  -5.0,  -3.2,0,
 26.550, 446.5, 798.4, 385.7, 104.7, 105.0,0, 505.5, 615.8, 537.5,   3.2,   0.2,0,
 26.620, 456.0, 806.0, 392.4, 108.8,  94.8,0, 498.0, 616.1, 537.7,   5.1,   2.2,0,
 26.684, 466.5, 816.1, 398.5, 157.4,  94.8,0, 511.5, 615.8, 537.6,  -6.1,  -1.5,0,
 26.750, 446.0, 825.8, 404.0, 147.1,  84.7,0, 510.5, 615.8, 537.6,   0.3,  -0.4,0,
 26.816, 461.0, 836.1, 409.2, 155.1,  78.1,0, 503.0, 616.0, 537.5,   3.5,  -0.2,0,
 26.884, 442.5, 847.0, 412.6, 161.0,  50.5,0, 512.0, 615.8, 537.7,  -3.2,   2.3,0,
 26.953, 443.5, 856.6, 416.2, 138.2,  51.0,0, 505.5, 615.9, 537.7,   1.1,  -0.4,0,
 27.016, 440.5, 867.9, 418.5, 178.3,  36.8,0, 510.5, 615.8, 537.6,  -1.6,  -1.7,0,
 27.084, 427.0, 880.2, 420.2, 183.2,  25.9,0, 503.5, 616.3, 537.6,   7.5,  -0.2,0,
