time(s),area,x,y,v_x,v_y,theta,area,x,y,v_x,v_y,theta
  3.588, 417.0, 766.6, 341.4,  33.6, 178.4,0, 506.0, 616.0, 537.3,   5.9,  -0.2,0,
  3.654, 429.0, 769.1, 352.7,  37.8, 171.1,0, 503.5, 616.2, 537.4,   2.5,   1.4,0,
  3.721, 417.0, 770.1, 365.1,  15.8, 187.2,0, 502.5, 616.2, 537.4,  -0.7,  -0.5,0,
  3.791, 406.5, 770.6, 376.2,   6.1, 157.3,0, 510.0, 615.8, 537.4,  -4.6,  -0.2,0,
  3.854, 409.5, 769.7, 387.5, -13.1, 179.0,0, 514.0, 615.9, 537.5,   0.4,   1.4,0,
  3.921, 405.0, 768.4, 400.9, -20.4, 201.4,0, 505.5, 615.9, 537.6,   0.9,   2.7,0,
  3.987, 447.5, 766.6, 410.5, -27.1, 143.7,0, 504.5, 616.0, 537.7,   1.1,   0.2,0,
  4.054, 408.5, 765.6, 421.8, -14.6, 170.0,0, 508.0, 616.1, 537.5,   1.0,  -2.4,0,
  4.124, 385.5, 762.1, 434.5, -49.3, 181.0,0, 503.5, 615.6, 537.5,  -6.0,  -0.0,0,
  4.188, 418.0, 757.5, 444.7, -73.5, 161.4,0, 503.5, 615.6, 537.5,  -0.3,   0.3,0,
  4.254, 460.0, 753.6, 454.0, -58.2, 139.6,0, 503.5, 616.1, 537.5,   6.6,   0.1,0,
  4.321, 431.5, 748.5, 465.3, -76.4, 169.7,0, 499.0, 616.2, 537.6,   2.4,   1.5,0,
  4.387, 442.5, 742.7, 474.6, -87.9, 138.5,0, 507.0, 616.1, 537.5,  -1.4,  -1.1,0,
  4.458, 423.0, 737.4, 484.7, -74.7, 145.1,0, 509.0, 615.9, 537.6,  -2.9,   0.5,0,
  4.521, 428.5, 729.7, 494.4,-122.8, 152.4,0, 505.5, 615.8, 537.6,  -1.7,   0.1,0,
  4.587, 469.5, 723.7, 502.4, -89.6, 121.2,0, 495.0, 616.0, 537.5,   3.0,  -1.3,0,
  4.654, 438.0, 716.0, 512.3,-115.1, 147.8,0, 506.0, 616.0, 537.6,  -0.7,   2.2,0,
  4.721, 434.0, 709.0, 520.8,-104.9, 127.4,0, 502.5, 616.4, 537.5,   6.5,  -1.7,0,
  4.791, 459.5, 702.4, 530.1, -94.4, 133.6,0, 503.5, 615.8, 537.4,  -8.0,  -1.9,0,
  4.854, 461.5, 695.4, 539.6,-110.6, 149.6,0, 502.5, 616.0, 537.5,   2.4,   1.3,0,
  4.921, 423.5, 689.7, 547.9, -85.9, 124.2,0, 507.5, 615.9, 537.5,  -1.5,   1.0,0,
  4.987, 448.0, 683.9, 556.9, -86.2, 135.1,0, 507.0, 616.1, 537.5,   3.0,  -0.4,0,
  5.054, 412.5, 678.9, 565.5, -75.4, 129.4,0, 493.0, 616.3, 537.2,   2.6,  -4.2,0,
  5.124, 413.0, 674.4, 575.5, -64.8, 142.7,0, 502.5, 615.7, 537.3,  -8.2,   1.1,0,
  5.187, 420.5, 667.9, 585.7,-102.7, 160.0,0, 508.0, 615.9, 537.4,   3.5,   1.8,0,
  5.254, 395.5, 663.4, 594.5, -67.0, 132.8,0, 504.0, 616.1, 537.5,   3.4,   1.5,0,
  5.320, 418.5, 657.5, 605.3, -88.6, 161.9,0, 507.5, 615.9, 537.5,  -3.9,  -0.9,0,
  5.387, 409.0, 653.8, 614.1, -56.0, 131.7,0, 505.0, 615.8, 537.6,  -1.1,   2.3,0,
  5.457, 412.5, 649.1, 624.0, -66.8, 141.6,0, 507.5, 615.9, 537.6,   0.9,  -0.8,0,
  5.520, 439.0, 643.7, 632.6, -85.9, 136.2,0, 510.5, 615.9, 537.5,   0.4,  -0.6,0,
  5.587, 419.0, 637.8, 641.2, -87.3, 128.7,0, 498.0, 616.4, 537.4,   8.0,  -1.2,0,
  5.654, 463.5, 631.2, 648.3, -99.8, 106.4,0, 503.0, 615.6, 537.3, -11.8,  -2.5,0,
  5.720, 472.5, 624.3, 655.7,-104.0, 111.3,0, 503.0, 615.9, 537.5,   4.2,   4.0,0,
  5.791, 442.5, 615.1, 662.2,-130.4,  93.0,0, 504.5, 616.1, 537.5,   2.1,  -0.9,0,
  5.854, 470.0, 606.6, 669.7,-134.5, 118.3,0, 499.5, 616.1, 537.4,   0.8,  -0.7,0,
  5.921, 463.5, 599.3, 674.2,-108.7,  67.3,0, 503.5, 616.1, 537.3,  -0.6,  -2.4,0,
  5.987, 456.0, 589.4, 680.3,-150.1,  91.3,0, 507.0, 616.1, 537.5,   0.9,   3.9,0,
  6.054, 462.5, 579.7, 684.2,-144.9,  60.1,0, 505.5, 616.2, 537.6,   1.3,   0.3,0,
  6.124, 465.0, 569.8, 688.3,-141.7,  57.7,0, 504.5, 616.3, 537.5,   1.3,  -0.5,0,
  6.187, 467.5, 560.5, 691.0,-146.9,  43.3,0, 498.5, 616.2, 537.5,  -1.5,   0.2,0,
  6.254, 450.5, 550.4, 693.3,-151.7,  33.3,0, 510.0, 615.9, 537.4,  -5.4,  -2.2,0,
  6.320, 462.5, 539.5, 693.9,-164.3,   9.4,0, 503.0, 616.0, 537.5,   1.9,   1.5,0,
  6.387, 420.0, 525.9, 693.9,-203.2,  -0.0,0, 507.0, 616.0, 537.5,   0.1,  -0.3,0,
  6.457, 440.5, 513.9, 693.3,-170.7,  -7.8,0, 506.5, 615.8, 537.3,  -2.1,  -2.5,0,
  6.521, 450.5, 501.5, 690.3,-193.8, -46.4,0, 509.0, 615.9, 537.4,   0.4,   1.9,0,
  6.587, 422.0, 489.3, 687.1,-185.1, -50.0,0, 507.5, 616.1, 537.4,   4.0,   0.6,0,
  6.653, 446.0, 476.9, 682.4,-186.3, -70.5,0, 506.5, 616.1, 537.4,  -0.2,  -0.4,0,
  6.720, 438.0, 463.8, 676.7,-197.8, -85.0,0, 494.0, 616.5, 537.6,   5.1,   3.3,0,
  6.790, 461.5, 445.1, 663.0,-266.0,-194.9,0, 499.5, 616.1, 537.4,  -5.8,  -3.9,0,
  6.854, 453.0, 425.8, 643.9,-305.4,-302.9,0, 507.5, 615.9, 537.5,  -2.9,   1.7,0,
  6.920, 446.0, 410.8, 620.7,-224.3,-347.5,0, 503.5, 616.2, 537.5,   5.6,   0.7,0,
  6.987, 415.0, 400.1, 593.7,-160.2,-405.4,0, 512.0, 616.0, 537.5,  -2.9,   0.2,0,
  7.053, 435.5, 395.7, 567.7, -66.9,-390.2,0, 507.5, 616.1, 537.4,   0.8,  -1.2,0,
  7.124, 409.5, 396.4, 539.3,   9.6,-405.4,0, 508.0, 615.9, 537.5,  -3.3,   1.4,0,
  7.187, 373.0, 404.6, 510.3, 130.7,-458.2,0, 501.0, 615.8, 537.3,  -1.0,  -3.7,0,
  7.253, 375.0, 413.5, 484.6, 132.7,-385.7,0, 499.5, 615.8, 537.5,  -0.0,   2.8,0,
  7.320, 421.5, 430.9, 461.3, 261.1,-349.2,0, 500.5, 616.1, 537.5,   4.6,   0.0,0,
  7.387, 401.5, 452.0, 441.1, 316.0,-303.2,0, 505.5, 615.9, 537.6,  -3.3,   2.1,0,
  7.457, 403.5, 473.5, 426.2, 306.1,-211.3,0, 512.0, 615.7, 537.5,  -2.4,  -1.8,0,
  7.520, 406.5, 501.6, 415.0, 445.5,-177.4,0, 501.5, 615.9, 537.6,   3.5,   1.9,0,
  7.587, 408.5, 528.2, 409.4, 399.2, -84.5,0, 499.0, 615.8, 537.5,  -1.7,  -2.0,0,
  7.653, 379.0, 556.7, 409.0, 427.7,  -6.4,0, 500.5, 615.8, 537.5,  -0.1,   0.2,0,
  7.720, 384.0, 584.7, 414.0, 421.9,  75.0,0, 504.0, 616.2, 537.4,   5.9,  -1.6,0,
  7.790, 398.0, 609.9, 423.2, 358.3, 131.1,0, 511.0, 615.7, 537.6,  -7.3,   2.1,0,
  7.853, 391.0, 632.7, 436.7, 359.4, 213.1,0, 512.5, 616.0, 537.4,   4.0,  -2.0,0,
  7.920, 437.5, 652.3, 454.4, 295.3, 266.2,0, 502.5, 615.7, 537.7,  -4.4,   3.4,0,
  7.987, 442.5, 668.3, 476.3, 239.9, 327.9,0, 513.0, 616.0, 537.6,   4.6,  -1.4,0,
  8.053, 449.5, 681.2, 501.2, 194.0, 375.1,0, 509.0, 615.9, 537.4,  -1.7,  -3.1,0,
  8.123, 429.5, 687.6, 529.7,  91.4, 406.4,0, 509.0, 616.3, 537.6,   6.3,   3.5,0,
  8.187, 448.0, 689.4, 554.8,  28.2, 395.4,0, 506.5, 616.1, 537.6,  -3.5,  -0.3,0,
  8.253, 371.5, 686.7, 582.2, -40.5, 412.9,0, 500.0, 616.1, 537.5,   1.1,  -0.9,0,
  8.320, 348.5, 680.1, 611.8, -98.8, 443.3,0, 503.0, 616.0, 537.5,  -1.6,   0.3,0,
  8.387, 429.0, 668.1, 633.7,-181.0, 329.4,0, 506.5, 616.1, 537.5,   0.2,  -0.4,0,
  8.457, 436.5, 650.4, 655.8,-252.8, 315.0,0, 511.5, 616.1, 537.5,  -0.1,  -0.7,0,
  8.520, 454.5, 629.4, 673.8,-331.1, 284.7,0, 509.5, 615.9, 537.5,  -1.8,   0.9,0,
  8.587, 456.0, 606.2, 687.2,-347.8, 200.9,0, 508.0, 615.9, 537.5,  -1.2,  -0.7,0,
  8.653, 459.5, 579.1, 694.9,-407.0, 115.8,0, 504.0, 616.0, 537.5,   2.6,   0.3,0,
  8.720, 466.0, 551.7, 697.7,-412.3,  41.6,0, 501.0, 616.1, 537.5,   1.2,  -0.4,0,
  8.790, 429.5, 524.3, 694.8,-389.2, -41.3,0, 511.0, 616.0, 537.4,  -1.9,  -1.2,0,
  8.854, 398.5, 496.8, 685.4,-430.6,-146.4,0, 507.0, 616.1, 537.5,   2.4,   1.1,0,
  8.920, 397.5, 473.9, 673.3,-348.4,-183.7,0, 494.5, 616.0, 537.7,  -1.5,   3.4,0,
  8.987, 451.5, 450.8, 653.8,-346.1,-292.4,0, 504.5, 615.7, 537.5,  -5.3,  -2.1,0,
  9.053, 422.0, 431.9, 630.3,-284.0,-354.1,0, 501.5, 616.6, 537.6,  13.2,   0.3,0,
  9.123, 430.0, 421.4, 604.2,-149.6,-370.9,0, 503.5, 615.9, 537.4,  -9.0,  -1.7,0,
  9.187, 404.0, 414.3, 576.2,-111.6,-441.8,0, 510.0, 615.8, 537.4,  -2.3,  -0.6,0,
  9.253, 388.5, 414.8, 548.0,   7.1,-425.8,0, 506.5, 615.7, 537.5,  -1.7,   1.2,0,
  9.320, 377.0, 421.0, 520.1,  94.2,-417.2,0, 503.5, 616.1, 537.5,   7.2,   0.5,0,
  9.386, 373.5, 429.8, 492.4, 131.5,-415.8,0, 506.5, 615.9, 537.2,  -3.1,  -4.7,0,
